"GEOID","urbanPercent","URBAN_POP","TRACT_POP"
"060014422",1,7454,7454
"060014423",1,11463,11463
"060014424",1,6347,6347
"060014425",0.654110482818617,7519,11495
"060014426",1,9168,9168
"060014427",1,3141,3141
"060014428",1,2959,2959
"060014429",1,7661,7661
"060014430",1,9538,9538
"060014431",0.828448496208571,19447,23474
"060014432",0.780748663101604,2774,3553
"060014433",1,10836,10836
"060014441",1,7703,7703
"060014442",1,6451,6451
"060014443",0.995750184774575,10778,10824
"060014444",1,5282,5282
"060014445",1,6414,6414
"060014446",1,10860,10860
"060014501",1,15485,15485
"060014502",1,6456,6456
"060014503",1,5548,5548
"060014504",1,7675,7675
"060014505",0.610645204923576,9029,14786
"060014506",0.695787861020219,36787,52871
"060014507",0.584955508371558,72180,123394
"060014511",0.513232559248486,10763,20971
"060014512",0.483029420778425,12609,26104
"060014513",1,6435,6435
"060014514",0.710299607542835,14841,20894
"060014515",0.79072253978698,19228,24317
"060014516",0.69429584660696,11551,16637
"060014517",1,11794,11794
"060019819",1,49,49
"060019820",1,206,206
"060019821",1,1044,1044
"060019832",1,834,834
"060050002",0.0485377741673436,478,9848
"060050003",0.207017865883505,6767,32688
"060050004",0.161107802263252,3246,20148
"060050005",0.303775920767564,1963,6462
"060070001",1,16442,16442
"060070002",1,8499,8499
"060070003",1,4740,4740
"060070004",0.490911255754882,12369,25196
"060070005",0.489988820002033,9642,19678
"060070006",1,11407,11407
"060070007",1,5081,5081
"060070008",1,5626,5626
"060070009",0.487292851842691,15761,32344
"060070010",1,4979,4979
"060070011",0.472745183887916,4319,9136
"060070012",0.471760321100917,3291,6976
"060070013",0.5,4079,8158
"060070014",0.225052905746378,2765,12286
"060070015",0.0573219476744186,631,11008
"060070016",0.109727530514117,1780,16222
"060070017",0.363598039732308,6900,18977
"060070025",0.290773968934119,4343,14936
"060070026",0.342507645259939,4928,14388
"060070027",0.490570889765129,5723,11666
"060070028",1,4718,4718
"060070029",0.475716440422323,3154,6630
"060070030",0.489020905399308,6503,13298
"060070031",0.445464480874317,4076,9150
"060070032",0.263442095588235,2293,8704
"060070033",0.0170577795306646,173,10142
"060070034",0.150804519000342,881,5842
"060070035",0.442798541476755,7772,17552
"060070037",0.407601447894837,4279,10498
"060090002",0.256133525757671,8164,31874
"060110002",0.286999288164111,4435,15453
"060110003",0.373170404189607,5558,14894
"060110005",0.469448584202683,2520,5368
"060133010",0.461461733768589,5089,11028
"060133020",0.881304590224865,47423,53810
"060133031",0.605735506498865,23488,38776
"060133032",0.780641757921927,42915,54974
"060133040",0.460924360803015,21651,46973
"060133050",1,7064,7064
"060133060",0.582393385161551,12960,22253
"060133071",1,10378,10378
"060133072",1,20159,20159
"060133080",0.626962408180902,13059,20829
"060133090",1,3699,3699
"060133100",1,6106,6106
"060133110",1,5668,5668
"060133120",1,2974,2974
"060133131",0.605228167216254,22759,37604
"060133132",0.655327245053272,17222,26280
"060133141",0.751577258305678,20609,27421
"060133142",0.997349330357143,7149,7168
"060133150",0.493593476994758,3390,6868
"060133160",1,1605,1605
"060133170",1,2078,2078
"060133180",0.332752275808638,3436,10326
"060133190",0.5,8272,16544
"060133200",0.432138386982894,13465,31159
"060133211",0.380609581544161,18082,47508
"060133212",0.384335029569523,5589,14542
"060133220",1,6528,6528
"060133230",1,4622,4622
"060133240",0.391582330415755,11453,29248
"060133250",1,5733,5733
"060133260",0.5,3508,7016
"060133270",0.691371285356248,7724,11172
"060133280",1,2411,2411
"060133290",1,6579,6579
"060133300",1,5587,5587
"060133310",1,7337,7337
"060133320",1,7719,7719
"060133331",0.5,8302,16604
"060133332",1,5961,5961
"060133340",1,16852,16852
"060133342",0.5,7194,14388
"060133350",1,3463,3463
"060133361",1,12260,12260
"060133362",1,9782,9782
"060133371",1,3238,3238
"060133372",1,7601,7601
"060133373",0.5,6147,12294
"060133381",0.712264538948754,8659,12157
"060133382",0.44499250028845,15427,34668
"060133383",0.43054365419404,9044,21006
"060133390",1,11326,11326
"060133400",0.554443790464979,14130,25485
"060133410",0.5,5374,10748
"060133430",0.5,13744,27488
"060133451",0.58721141941592,64504,109848
"060133452",0.375240233668868,19720,52553
"060133461",0.419183028661702,9287,22155
"060133462",0.4985153067928,18971,38055
"060133470",0.273462711639627,6186,22621
"060133480",0.33324139833138,4833,14503
"060133490",1,5151,5151
"060133500",0.5,6224,12448
"060133511",1,8698,8698
"060133512",0.5,5953,11906
"060133521",0.480866784296427,8721,18136
"060133522",0.4871388101983,8598,17650
"060133530",0.494805043194023,8477,17132
"060133540",0.355636563185952,9073,25512
