"GEOID","urbanPercent","URBAN_POP","TRACT_POP"
"120110426",0.418241279069767,5755,13760
"120110427",0.333333333333333,5497,16491
"120110428",0.372898435428268,7031,18855
"120110429",0.250327022375215,7272,29050
"120110430",0.22281181183837,8398,37691
"120110431",0.333333333333333,4975,14925
"120110433",0.338564805872127,7011,20708
"120110501",0.354389892851431,4432,12506
"120110502",0.408288191591058,24345,59627
"120110503",0.53180262601748,39004,73343
"120110504",0.570103980396053,8608,15099
"120110505",0.5,8677,17354
"120110506",0.333653230966091,7301,21882
"120110507",0.378967568604874,9874,26055
"120110508",0.5,5657,11314
"120110509",0.5,5417,10834
"120110510",0.447224278312361,6042,13510
"120110601",0.50231836166442,125560,249961
"120110602",0.487359533789513,40811,83739
"120110603",0.691748772052199,23801,34407
"120110604",0.535487239335401,17436,32561
"120110605",0.5,20774,41548
"120110606",0.467466040583599,27875,59630
"120110607",0.333333333333333,3105,9315
"120110608",0.391708815028902,8674,22144
"120110609",0.349741961095673,4405,12595
"120110610",0.444584635678032,15504,34873
"120110611",0.271340107427555,7931,29229
"120110701",0.533859248494914,12858,24085
"120110702",0.548584263544786,40299,73460
"120110703",0.580350545932189,113108,194896
"120110704",0.535655737704918,23526,43920
"120110705",0.567267200709242,17916,31583
"120110706",0.570337867485739,12998,22790
"120110801",0.475791885105071,10800,22699
"120110802",0.5,983,1966
"120110804",0.454715285660235,19229,42288
"120110805",0.5,7415,14830
"120110901",0.577893225784401,8454,14629
"120110902",0.5,3921,7842
"120110903",0.592810378273521,9779,16496
"120110904",0.5,13744,27488
"120110905",0.559310520506071,13174,23554
"120110906",0.371349049327655,11074,29821
"120110907",0.333333333333333,8217,24651
"120110908",0.40250946969697,8501,21120
"120110909",0.333333333333333,4948,14844
"120110910",0.5,4101,8202
"120110911",0.5,7021,14042
"120110912",0.5,10198,20396
"120110913",0.5,4185,8370
"120110914",0.5,6073,12146
"120110915",0.5,5411,10822
"120110916",0.5,7465,14930
"120110917",0.5,8514,17028
"120110918",0.697622316976223,9653,13837
"120110919",0.556970428485214,9229,16570
"120110920",0.5,3598,7196
"120111001",0.688248600140913,18560,26967
"120111002",1,7625,7625
"120111003",1,6287,6287
"120111004",1,5897,5897
"120111005",0.559425992361995,4834,8641
"120111006",0.49793596917714,5428,10901
"120111007",0.5,5958,11916
"120111008",0.5,11597,23194
"120111101",0.5,6597,13194
"120111103",0.547968832518799,261471,477164
"120111104",0.424362170476847,16001,37706
"120111105",0.5,8596,17192
"120111106",0.256031980202732,5380,21013
"120119800",0,0,3
"120150101",0.0428442844284428,476,11110
"120150102",0.227501216150478,2806,12334
"120150103",0.392480181200453,8664,22075
"120150104",0.492489022417379,12786,25962
"120150105",0.327041919084295,10743,32849
"120150201",0.432753653015024,16822,38872
"120150202",0.447265353740174,16102,36001
"120150203",0.449437537004144,15182,33780
"120150204",0.454076894502229,9779,21536
"120150205",0.497060596924932,6595,13268
"120150206",0.650288724546652,6419,9871
"120150207",0.5,4707,9414
"120150208",0.5,4836,9672
"120150209",0.404509539410291,6297,15567
"120150210",0.443091465109814,7969,17985
"120150301",0.49945160405813,7286,14588
"120150302",0.479534147444595,8482,17688
"120150303",0.5,6535,13070
"120150304",0.413902205177373,4317,10430
"120150305",0.411906844018963,17899,43454
"120174501",0.36114435302917,9657,26740
"120174502",0.5,9961,19922
"120174503",0.344321894798202,22446,65189
"120174504",0.0810676862078731,1145,14124
"120174505",0.26024430390713,3004,11543
"120174506",0.365578226084294,9550,26123
"120174507",0.380632813257099,15711,41276
"120174508",0.272409977015408,3200,11747
"120174509",0.276321569775956,3774,13658
"120174510",0.456987553174728,5801,12694
"120174511",0.306443830328552,6986,22797
"120174514",0.173979280926264,2284,13128
"120174515",0.260559168722434,6971,26754
"120174516",0.588099443010461,12987,22083
"120174517",0.208534362603195,1945,9327
"120190301",0.219644069440403,9059,41244
"120190302",0.483724742736376,48981,101258
"120190303",0.5,15575,31150
"120190304",0.5,2491,4982
"120190305",0.5,2921,5842
"120190306",0.5,4945,9890
"120190307",0.517546362339515,34466,66595
"120190308",0.5,11739,23478
"120190309",0.541365501074429,22170,40952
"120190311",0.23571978868589,8567,36344
"120190312",0.284613110802883,12517,43979
"120190313",0.352748398629525,7104,20139
"120190314",0.495969773299748,5907,11910
"120190315",0.0495662949194548,320,6456
"120210001",0.5,3020,6040
"120210002",1,1898,1898
"120210003",0.5,4276,8552
"120210004",0.5,4163,8326
"120210005",0.5,1695,3390
"120210006",0.496959870287799,1226,2467
"120210007",1,1312,1312
"120210101",0.555695636260116,27328,49178
"120210102",0.575292615450096,27033,46990
"120210103",0.5,4121,8242
"120210104",0.452039670027144,93758,207411
"120210105",0.540175384929132,31785,58842
"120210106",0.422021896941568,14185,33612
"120210107",0.488650621649367,8568,17534
"120210108",0.526569118213323,21880,41552
"120210109",0.502434596022118,12176,24234
"120210110",0.5,3441,6882
"120210111",0.360015832328106,19101,53056
"120210112",0.316445372992092,34534,109131
"120210113",0.689915822023707,12048,17463
"120210114",0.495083041958042,4531,9152
"120231102",0.143574626050879,3945,27477
"120231103",0.0877453217708809,2307,26292
"120231104",0.341184953731523,2839,8321
"120231105",0.274332717810979,8171,29785
"120231106",0.0969524991871361,3280,33831
"120231107",0.189700472937467,2888,15224
"120231108",0.0955343702960361,1904,19930
"120270101",0.154037514304194,3096,20099
"120270102",0.382711433485381,5118,13373
"120270103",0.390130401431859,7629,19555
"120270104",0.0645425188374596,1499,23225
"120310001",0.5,5650,11300
"120310002",0.5,2744,5488
"120310003",0.5,2231,4462
"120310006",0.333333333333333,4886,14658
"120310007",0.209993437705072,4480,21334
"120310008",0.5,3021,6042
